ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12359411,JE222458,04/01/2021 01:00:00 AM,052XX N LARNED AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,0,1,1623,16.0,45.0,11.0,02,1140250.0,1934826.0,2021,05/11/2021 04:58:38 PM,41.977260426,-87.759614054,"(41.977260426, -87.759614054)",04
12329602,JE186429,04/01/2021 01:00:00 PM,054XX N MONITOR AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,1,1622,16.0,45.0,11.0,08A,1136207.0,1935583.0,2021,04/08/2021 05:05:01 PM,41.979411041,-87.77446409,"(41.979411041, -87.77446409)",04
12329582,JE186331,04/01/2021 01:00:00 PM,012XX N AVERS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,0,0,2535,25.0,27.0,23.0,11,1150486.0,1908040.0,2021,04/08/2021 05:05:01 PM,41.90356319,-87.722672962,"(41.90356319, -87.722672962)",04
12395358,JE267002,04/01/2021 01:00:00 PM,072XX N CAMPBELL AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,0,1,2411,24.0,50.0,2.0,26,1158373.0,1948205.0,2021,06/17/2021 04:51:44 PM,42.013620504,-87.692598992,"(42.013620504, -87.692598992)",04
12385438,JE254634,04/01/2021 01:00:00 PM,058XX N KOLMAR AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,0,0,1711,17.0,39.0,12.0,11,1145034.0,1938370.0,2021,06/08/2021 04:48:44 PM,41.986896141,-87.741930901,"(41.986896141, -87.741930901)",04
12330396,JE187450,04/01/2021 01:00:00 PM,061XX N WINTHROP AVE,0850,THEFT,ATTEMPT THEFT,APARTMENT,0,0,2433,24.0,48.0,77.0,06,1167747.0,1940929.0,2021,04/08/2021 05:05:01 PM,41.993457327,-87.658318065,"(41.993457327, -87.658318065)",04
12333243,JE190920,04/01/2021 01:00:00 PM,048XX N KENMORE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,2024,20.0,46.0,3.0,07,1168381.0,1932320.0,2021,04/08/2021 05:05:01 PM,41.969820278,-87.65623630799999,"(41.969820278, -87.656236308)",04
12334293,JE192320,04/01/2021 01:00:00 PM,052XX S DREXEL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,0,0,233,2.0,5.0,41.0,11,1183134.0,1870439.0,2021,04/09/2021 05:03:06 PM,41.799683564,-87.60392383700001,"(41.799683564, -87.603923837)",04
12329516,JE186249,04/01/2021 01:05:00 PM,056XX W WEST END AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0,0,1512,15.0,29.0,25.0,14,1138352.0,1900900.0,2021,04/08/2021 05:05:01 PM,41.884198514,-87.76741746299999,"(41.884198514, -87.767417463)",04
12329151,JE185828,04/01/2021 01:07:00 AM,001XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1,0,312,3.0,20.0,69.0,15,1176280.0,1863208.0,2021,04/08/2021 05:05:01 PM,41.779997817,-87.629276263,"(41.779997817, -87.629276263)",04
