ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12234544,JD446653,12/01/2020 01:00:00 AM,052XX S BISHOP ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,0,0,934,9.0,20.0,61.0,11,1167554.0,1870028.0,2020,12/17/2020 03:44:58 PM,41.798904316,-87.661071511,"(41.798904316, -87.661071511)",12
12235430,JD447191,12/01/2020 01:00:00 AM,072XX N OLCOTT AVE,0810,THEFT,OVER $500,STREET,0,0,1611,16.0,41.0,9.0,06,,,2020,12/08/2020 03:51:46 PM,,,,12
12361909,JE225771,12/01/2020 01:00:00 PM,047XX W SCHOOL ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,0,0,1731,17.0,30.0,15.0,11,,,2020,05/11/2021 05:00:54 PM,,,,12
12245132,JD458640,12/01/2020 01:00:00 PM,061XX N WINTHROP AVE,0810,THEFT,OVER $500,APARTMENT,0,0,2433,24.0,48.0,77.0,06,1167753.0,1940719.0,2020,12/17/2020 03:44:58 PM,41.992880953,-87.658302083,"(41.992880953, -87.658302083)",12
12235855,JD447208,12/01/2020 01:00:00 PM,068XX N NORTHWEST HWY,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,0,0,1611,16.0,41.0,9.0,11,1123857.0,1944834.0,2020,12/17/2020 03:44:58 PM,42.005008848,-87.81967916,"(42.005008848, -87.81967916)",12
12235178,JD446587,12/01/2020 01:00:00 PM,080XX S GREEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,1,621,6.0,21.0,71.0,14,1172038.0,1851456.0,2020,12/17/2020 03:44:58 PM,41.747843139,-87.64517268600001,"(41.747843139, -87.645172686)",12
12234831,JD446613,12/01/2020 01:00:00 PM,066XX S GREENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,321,3.0,5.0,42.0,08B,1184361.0,1861216.0,2020,12/17/2020 03:44:58 PM,41.774346209,-87.599712752,"(41.774346209, -87.599712752)",12
12239786,JD446603,12/01/2020 01:07:00 PM,118XX S EGGLESTON AVE,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),0,0,522,5.0,34.0,53.0,08A,1175425.0,1826447.0,2020,12/17/2020 03:44:58 PM,41.679139928000005,-87.633506543,"(41.679139928, -87.633506543)",12
12234007,JD446270,12/01/2020 01:10:00 AM,026XX N LECLAIRE AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,0,0,2521,25.0,31.0,19.0,04A,1141931.0,1917267.0,2020,12/17/2020 03:44:58 PM,41.929045887,-87.75386877,"(41.929045887, -87.75386877)",12
12234484,JD446637,12/01/2020 01:10:00 PM,055XX S ASHLAND AVE,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,APPLIANCE STORE,0,0,715,7.0,16.0,67.0,15,1166618.0,1867946.0,2020,12/17/2020 03:44:58 PM,41.793211097,-87.66456343600001,"(41.793211097, -87.664563436)",12
12242546,JD446595,12/01/2020 01:10:00 PM,052XX W MADISON ST,5011,OTHER OFFENSE,LICENSE VIOLATION,RESTAURANT,0,0,1522,15.0,29.0,25.0,26,1141177.0,1899516.0,2020,12/17/2020 03:44:58 PM,41.880349054,-87.75707771299999,"(41.880349054, -87.757077713)",12
12234922,JD446675,12/01/2020 01:14:00 PM,002XX E 46TH ST,0460,BATTERY,SIMPLE,APARTMENT,0,0,215,2.0,3.0,38.0,08B,1178514.0,1874573.0,2020,12/17/2020 03:44:58 PM,41.811133958,-87.62074077,"(41.811133958, -87.62074077)",12
