ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12209267,JD417796,11/01/2020 01:00:00 AM,001XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,112,1.0,42.0,32.0,08B,1177320.0,1899817.0,2020,12/17/2020 03:44:58 PM,41.880432396,-87.62435584299999,"(41.880432396, -87.624355843)",11
12209420,JD417570,11/01/2020 01:00:00 AM,004XX W WISCONSIN ST,0820,THEFT,$500 AND UNDER,STREET,0,0,1813,18.0,43.0,7.0,06,1172834.0,1912919.0,2020,12/17/2020 03:44:58 PM,41.916485529,-87.64043927899999,"(41.916485529, -87.640439279)",11
12209316,JD417751,11/01/2020 01:00:00 AM,048XX W WABANSIA AVE,0460,BATTERY,SIMPLE,SIDEWALK,0,0,2533,25.0,37.0,25.0,08B,1143666.0,1910861.0,2020,12/17/2020 03:44:58 PM,41.911434811,-87.747653879,"(41.911434811, -87.747653879)",11
12209241,JD417823,11/01/2020 01:00:00 AM,060XX N ARTESIAN AVE,0810,THEFT,OVER $500,STREET,0,0,2413,24.0,40.0,2.0,06,1158895.0,1940040.0,2020,12/17/2020 03:44:58 PM,41.991204727,-87.69090369,"(41.991204727, -87.69090369)",11
12209589,JD418084,11/01/2020 01:00:00 AM,054XX S HARPER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,0,1,234,2.0,5.0,41.0,26,1187208.0,1869253.0,2020,12/17/2020 03:44:58 PM,41.796333256,-87.58902125600001,"(41.796333256, -87.589021256)",11
12208806,JD417287,11/01/2020 01:00:00 AM,074XX S COLFAX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,0,334,3.0,7.0,43.0,14,1194663.0,1856116.0,2020,12/17/2020 03:44:58 PM,41.760104086,-87.56211576700001,"(41.760104086, -87.562115767)",11
12208830,JD417331,11/01/2020 01:00:00 AM,072XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,735,7.0,17.0,67.0,08B,1164938.0,1856756.0,2020,12/17/2020 03:44:58 PM,41.762539969,-87.67103985799999,"(41.762539969, -87.671039858)",11
12208727,JD417253,11/01/2020 01:00:00 AM,021XX N LAVERGNE AVE,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),0,0,2522,25.0,36.0,19.0,08A,1142708.0,1913788.0,2020,12/17/2020 03:44:58 PM,41.919484709,-87.751100306,"(41.919484709, -87.751100306)",11
12210069,JD417943,11/01/2020 01:00:00 AM,017XX W HURON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,1215,12.0,1.0,24.0,14,1164598.0,1904731.0,2020,12/17/2020 03:44:58 PM,41.89419569,-87.670930234,"(41.89419569, -87.670930234)",11
12296000,JE145528,11/01/2020 01:00:00 PM,079XX S LANGLEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,624,6.0,6.0,44.0,07,,,2020,02/19/2021 03:48:53 PM,,,,11
12209342,JD417970,11/01/2020 01:00:00 PM,004XX N DESPLAINES ST,0810,THEFT,OVER $500,STREET,0,0,1214,12.0,27.0,24.0,06,1171843.0,1903538.0,2020,12/17/2020 03:44:58 PM,41.890765456,-87.64435696,"(41.890765456, -87.64435696)",11
12209395,JD417920,11/01/2020 01:00:00 PM,111XX S WHIPPLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,2211,22.0,19.0,74.0,14,1157999.0,1830500.0,2020,12/17/2020 03:44:58 PM,41.690632841,-87.69718369,"(41.690632841, -87.69718369)",11
12209163,JD417668,11/01/2020 01:00:00 PM,069XX W BERWYN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,0,0,1613,16.0,41.0,10.0,08A,1129092.0,1934713.0,2020,12/17/2020 03:44:58 PM,41.977148076,-87.800650498,"(41.977148076, -87.800650498)",11
